table_name,name,col_type,description,badges,attribute_name,col_description,is_nullable,is_primary_key,is_foreign_key,sensitivity,technical_source,is_view,database,cluster,schema,sort_order
mdd_mdm_prvdr_id_idx,mdm_prvdr_sk,BIGINT,The system generated unique identifier for a Provider Lean Index record in Master Data Management System.,Primary Key-Foreign Key,MDM Provider Surrogatekey,The system generated unique identifier for a Provider Lean Index record in Master Data Management System.,No,Yes,Yes,,,Table,hive,gold,hive_mdm,0
mdd_mdm_prvdr_id_idx,src_prvdr_id,VARCHAR(255),This is the natural value that represents a provider entity in a Source System. Sometimes one or more values from the Source have to be concatenated to achieve the required granularity that is aligned with Master Data Management Provider Enterprise Identifier.,,Source Provider Identifier,This is the natural value that represents a provider entity in a Source System. Sometimes one or more values from the Source have to be concatenated to achieve the required granularity that is aligned with Master Data Management Provider Enterprise Identifier.,No,No,,,,Table,hive,gold,hive_mdm,1
mdd_mdm_prvdr_id_idx,src_prvdr_id_type_desc,VARCHAR(255),This table abstractly relates all types of Source identifiers to Enterprise identifiers. This column describes (or qualifies) the type of Source Identifier that is populated in Source Provider Identifier.,,Source Provider Identifier Type Description,This table abstractly relates all types of Source identifiers to Enterprise identifiers. This column describes (or qualifies) the type of Source Identifier that is populated in Source Provider Identifier.,No,No,,,,Table,hive,gold,hive_mdm,2
mdd_mdm_prvdr_id_idx,src_sys_name,VARCHAR(35),Name of the system from which the record is sourced.,,Source System Name,Name of the system from which the record is sourced.,No,No,,,,Table,hive,gold,hive_mdm,3
mdd_mdm_prvdr_id_idx,src_sub_sys_name,CHAR(18),"Name of the subsytem such as NPESS, FISS, etc in the case of NPISCS, from which the record is sourced",,Source Sub System Name,"Name of the subsytem such as NPESS, FISS, etc in the case of NPISCS, from which the record is sourced",No,No,,,,Table,hive,gold,hive_mdm,4
mdd_mdm_prvdr_id_idx,mdm_prvdr_ent_id,BIGINT,This column is generated by Master Data Engine for every unique Source Identification number based on probabilistic matching algorithm.,Foreign Key-Nullable,MDM Provider Entity Identifier,This column is generated by Master Data Engine for every unique Source Identification number based on probabilistic matching algorithm.,Yes,No,Yes,,,Table,hive,gold,hive_mdm,5
mdd_mdm_prvdr_id_idx,mdm_prvdr_type_cd,VARCHAR(30),Used to distinguish between Individuals and Organizations.,Nullable,MDM Provider Type Code,Used to distinguish between Individuals and Organizations.,Yes,No,,,,Table,hive,gold,hive_mdm,6
mdd_mdm_prvdr_id_idx,audt_insrt_ts,TIMESTAMP,The data lineage column used to identify the date and time that the record was inserted within the table.,,Record Add Timestamp,The data lineage column used to identify the date and time that the record was inserted within the table.,No,No,,,,Table,hive,gold,hive_mdm,7
mdd_mdm_prvdr_id_idx,proc_cntl_dtl_last_updt_sk,INTEGER,A unique identifier of the process that last updated the record.,,Process Control Detail Last Update Surrogatekey,A unique identifier of the process that last updated the record.,No,No,,,,Table,hive,gold,hive_mdm,8
mdd_mdm_prvdr_id_idx,prvdr_ind,CHAR(1),Indicates whether the record belongs to a provider,Nullable,Provider Switch,Indicates whether the record belongs to a provider,Yes,No,,,,Table,hive,gold,hive_mdm,9
mdd_mdm_prvdr_id_idx,prsn_ind,CHAR(1),Indicates whether the record belongs to a person,Nullable,Person Switch,Indicates whether the record belongs to a person,Yes,No,,,,Table,hive,gold,hive_mdm,10
mdd_mdm_prvdr_id_idx,org_ind,CHAR(1),Indicates whether the record belongs to a organization,Nullable,Organization Switch,Indicates whether the record belongs to a organization,Yes,No,,,,Table,hive,gold,hive_mdm,11
mdd_mdm_prvdr_id_idx,enrlmt_id,CHAR(15),Enrollment Identifier of the provider from PECOS system,Nullable,Enrollment Identifier,Enrollment Identifier of the provider from PECOS system,Yes,No,,,,Table,hive,gold,hive_mdm,12
mdd_mdm_prvdr_id_idx,pac_id,CHAR(10),Provider Access Control Identifier of the provider from PECOS system,Nullable,Pecos Associate Control Identifier,Provider Access Control Identifier of the provider from PECOS system,Yes,No,,,,Table,hive,gold,hive_mdm,13
mdd_mdm_prvdr_id_idx,prvdr_npi,CHAR(10),"National Provider Identifier of a Health Care Provider.  For a Medicaid Provider, this value is reported by the state to the source system or is derived(harvested) from Medicaid Claims.",Nullable,Provider National Provider Identifier,"National Provider Identifier of a Health Care Provider.  For a Medicaid Provider, this value is reported by the state to the source system or is derived(harvested) from Medicaid Claims.",Yes,No,,,,Table,hive,gold,hive_mdm,14
mdd_mdm_prvdr_id_idx,audt_updt_ts,TIMESTAMP,The data lineage column used to identify the date and time that the record was last updated within the table.,,Record Update Timestamp,The data lineage column used to identify the date and time that the record was last updated within the table.,No,No,,,,Table,hive,gold,hive_mdm,15
mdd_mdm_prvdr_id_idx,proc_cntl_dtl_insrt_sk,INTEGER,A unique identifier of the process that inserted the record. ,,Process Control Detail Insert Surrogatekey,A unique identifier of the process that inserted the record. ,No,No,,,,Table,hive,gold,hive_mdm,16
mdd_mdm_prvdr_id_idx,audt_rec_stus_cd,VARCHAR(30),Indicates the status of the record. ,,Audit Record Status Code,Indicates the status of the record. ,No,No,,,,Table,hive,gold,hive_mdm,17
mdd_mdm_prvdr_id_idx,prvdr_lctn_id,CHAR(5),Unique identifier for a provider service location,Nullable,Provider Location Identifier,Unique identifier for a provider service location,Yes,No,,,,Table,hive,gold,hive_mdm,18
mdd_mdm_prvdr_id_idx,state_rptd_npi,CHAR(10),The National Provider Identifier (NPI)  for a Health Care Medicaid Provider or data that the state reported to be a National Provider Identifier.,Nullable,State Reported National Provider Identifier,The National Provider Identifier (NPI)  for a Health Care Medicaid Provider or data that the state reported to be a National Provider Identifier.,Yes,No,,,,Table,hive,gold,hive_mdm,19
mdd_mdm_prvdr_id_idx,state_prvdr_mid_num,VARCHAR(30),The provider's Medicaid Identification Number issued by a submitting state. ,Nullable,State Provider Medicaid Identification Number,The provider's Medicaid Identification Number issued by a submitting state. ,Yes,No,,,,Table,hive,gold,hive_mdm,20
mdd_mdm_prvdr_id_idx,fac_sw,CHAR(1),Indicates whether the provider Medicaid enrollment is of facility category,Nullable,Facility Switch,Indicates whether the provider Medicaid enrollment is of facility category,Yes,No,,,,Table,hive,gold,hive_mdm,21
mdd_mdm_prvdr_id_idx,grp_sw,CHAR(1),Indicates whether the provider Medicaid enrollment is of Group category,Nullable,Group Switch,Indicates whether the provider Medicaid enrollment is of Group category,Yes,No,,,,Table,hive,gold,hive_mdm,22
mdd_cmn_cd_rfrnc,rfrnc_srrgt_key,INT,Unique dummy sequential number to achieve primary key uniqueness.,Primary Key,Reference Surrogatekey,Unique dummy sequential number to achieve primary key uniqueness.,No,Yes,,,,Table,hive,gold,hive_mdm,23
mdd_cmn_cd_rfrnc,rfrnc_type_cd,VARCHAR(30),Qualifier defining the type of reference code set.,,Reference Type Code,Qualifier defining the type of reference code set.,No,No,,,,Table,hive,gold,hive_mdm,24
mdd_cmn_cd_rfrnc,rfrnc_type_desc,VARCHAR(255),Descriptive value for Reference Type Code,,Reference Type Description,Descriptive value for Reference Type Code,No,No,,,,Table,hive,gold,hive_mdm,25
mdd_cmn_cd_rfrnc,rfrnc_val_cd,VARCHAR(30),Unique identifier associated with type of value.,,Reference Value Code,Unique identifier associated with type of value.,No,No,,,,Table,hive,gold,hive_mdm,26
mdd_cmn_cd_rfrnc,rfrnc_val_desc,VARCHAR(500),Description of the Reference value code,,Reference Value Description,Description of the Reference value code,No,No,,,,Table,hive,gold,hive_mdm,27
mdd_cmn_cd_rfrnc,audt_insrt_id,CHAR(20),The data lineage column used to identify which user/process inserted the record. This usually translates to the name of the Workflow or an abbreviation for the process that loads the data into this table.,,Audit Insert Identifier,The data lineage column used to identify which user/process inserted the record. This usually translates to the name of the Workflow or an abbreviation for the process that loads the data into this table.,No,No,,,,Table,hive,gold,hive_mdm,28
mdd_cmn_cd_rfrnc,audt_insrt_ts,TIMESTAMP,The data lineage column used to identify the date and time that the record was inserted within the table.,,Audit Insert Timestamp,The data lineage column used to identify the date and time that the record was inserted within the table.,No,No,,,,Table,hive,gold,hive_mdm,29
mdd_cmn_cd_rfrnc,audt_updt_id,CHAR(20),The data lineage column used to identify which user/process updated the record. This usually translates to the name of the Workflow or an abbreviation for the process that updates the data in this table.,,Audit Update Identifier,The data lineage column used to identify which user/process updated the record. This usually translates to the name of the Workflow or an abbreviation for the process that updates the data in this table.,No,No,,,,Table,hive,gold,hive_mdm,30
mdd_cmn_cd_rfrnc,audt_updt_ts,TIMESTAMP,The data lineage column used to identify the date and time that the record was last updated within the table.,,Audit Update Timestamp,The data lineage column used to identify the date and time that the record was last updated within the table.,No,No,,,,Table,hive,gold,hive_mdm,31
mdd_cmn_cd_rfrnc,src_sys_name,VARCHAR(35),Name of the system from which the record is sourced.,,Source System Name,Name of the system from which the record is sourced.,No,No,,,,Table,hive,gold,hive_mdm,32
mdd_cmn_cd_rfrnc,src_sub_sys_name,CHAR(18),"Name of the subsytem such as NPESS, FISS, etc in the case of NPISCS, from which the record is sourced",,Source Sub System Name,"Name of the subsytem such as NPESS, FISS, etc in the case of NPISCS, from which the record is sourced",No,No,,,,Table,hive,gold,hive_mdm,33
mdd_spp_mdcr_blg_enrlmt,mdcr_enrlmt_id,VARCHAR(30),The unique identifier assigned by the Provider Enrollment Chain Organization System (PECOS) at Centers for Medicare and Medicaid Services ( CMS ) to an enrollee that successfully enrolls to bill Medicare.,Nullable,Medicare PECOS Enrollment Identifier,The unique identifier assigned by the Provider Enrollment Chain Organization System (PECOS) at Centers for Medicare and Medicaid Services ( CMS ) to an enrollee that successfully enrolls to bill Medicare.,Yes,No,,,,Table,hive,gold,hive_mdm,34
mdd_spp_mdcr_blg_enrlmt,mdcr_enrlmt_role_cd,CHAR(2),"Unique value that identifies a Role code.  Example: 00, 12, 14, 33, 30",Nullable,Medicare Billing Role Code,"Unique value that identifies a Role code.  Example: 00, 12, 14, 33, 30",Yes,No,,,,Table,hive,gold,hive_mdm,35
mdd_spp_mdcr_blg_enrlmt,mdcr_blg_enrlmt_efctv_ts,TIMESTAMP,The date on which the entity enrolled to bill Medicare for services rendered.,Nullable,Medicare Billing Enrollment Effective Timestamp,The date on which the entity enrolled to bill Medicare for services rendered.,Yes,No,,,,Table,hive,gold,hive_mdm,36
mdd_spp_mdcr_blg_enrlmt,trmntn_ts,TIMESTAMP,The date on which the Health Care Provider  enrollment to bill Medicare for the indicated type of submission form in the indicated U.S. state ceased to be active.,Nullable,Termination Timestamp,The date on which the Health Care Provider  enrollment to bill Medicare for the indicated type of submission form in the indicated U.S. state ceased to be active.,Yes,No,,,,Table,hive,gold,hive_mdm,37
mdd_spp_mdcr_blg_enrlmt,elgbl_for_dltn_sw,CHAR(1),"A yes/no indicator of whether a Part A Medicare Provider enrollment has been moved to voluntary withdrawal and that information has been sent to the Fiscal Intermediary Standard  System (FISS) by the FISS Claims Extract. If the value is 'Y', the Provider enrollment can be physically deleted.",Nullable,Eligible for Deletion Switch,"A yes/no indicator of whether a Part A Medicare Provider enrollment has been moved to voluntary withdrawal and that information has been sent to the Fiscal Intermediary Standard  System (FISS) by the FISS Claims Extract. If the value is 'Y', the Provider enrollment can be physically deleted.",Yes,No,,,,Table,hive,gold,hive_mdm,38
