name,description,tags,entity_name,table_description,is_view,database,cluster,schema
mdd_mdm_prvdr_id_idx,"An instance of this entity represent a Provider's Identifying information from a
source system used by the Master Data Management ( MDM ) Identity Resolution
Process","MDM, Provider, Provider Identifying Information, Identity Resolution",MDM Provider Identifier Index,"An instance of this entity represent a Provider's Identifying information from a
source system used by the Master Data Management ( MDM ) Identity Resolution
Process",Table,hive,gold,hive_mdm
mdd_cmn_cd_rfrnc,An instance in this entity collects all reference data from various sources in one common location.,"MDM, Provider, Common Code Reference, Reference Data",Common Code Reference,An instance in this entity collects all reference data from various sources in one common location.,Table,hive,gold,hive_mdm
mdd_spp_mdcr_blg_enrlmt,"An enrollment carried out by an enrolling entity seeking either:
1. the authority to begin the billing of Medicare for services rendered in an identified U.S. state or states, or
2. a Reassignment of the billing rights already acquired in a prior enrollment to bill Medicare.","Reassignment,Billing Rights,U.S.,Medicare,Mdm",Shared Provider Profile Medicare Billing Enrollment,"An enrollment carried out by an enrolling entity seeking either:
1. the authority to begin the billing of Medicare for services rendered in an identified U.S. state or states, or
2. a Reassignment of the billing rights already acquired in a prior enrollment to bill Medicare.",Table,hive,gold,hive_mdm
mdd_spp_prvdr_dme_faair,"An instance of this entity represents the Provider information that was submitted
at a specific point in time relative to the enrollment to bill Medicare of a Provider
that is considered to be a ""Durable Medical Equipment, Prosthetics, Orthotics, and
Supplies (DMEPOS) Supplier"". Such an enrollment is typically done via submittal of
an 855S form.
Each instance contains the enrollment alert that is associated with the Fraud and
Abuse Index of Risk Code.
Alerts are warning codes/indicators of supplier activity used by the National
Supplier Clearinghouse ( NSC ) and the four Durable Medical Equipment Medicare
Administrative Carriers (DME MACs). Alerts communicate specific information
about a supplier's claims-related activities and sanction updates.","MDM, Provider, Fraud Waste and Abuse, FWA, Index of Risk, FAAIR, Durable Medical Equipment, DME, Prosthetics, Orthotics, Supplies, DMEPOS, 855S, National Supplier Clearighouse, NSC, Medicare Administrative Carriers, DME MAC, Alerts",Shared Provider Profile DMEPOS Enrollment Fraud And Abuse Index of Risk,"An instance of this entity represents the Provider information that was submitted
at a specific point in time relative to the enrollment to bill Medicare of a Provider
that is considered to be a ""Durable Medical Equipment, Prosthetics, Orthotics, and
Supplies (DMEPOS) Supplier"". Such an enrollment is typically done via submittal of
an 855S form.
Each instance contains the enrollment alert that is associated with the Fraud and
Abuse Index of Risk Code.
Alerts are warning codes/indicators of supplier activity used by the National
Supplier Clearinghouse ( NSC ) and the four Durable Medical Equipment Medicare
Administrative Carriers (DME MACs). Alerts communicate specific information
about a supplier's claims-related activities and sanction updates.",Table,hive,gold,hive_mdm
mdd_prvdr_dm_lcns_hstry,A Healthcare Provider's license information as of a point in time.,"Healthcare Provider,License Information,Mdm",Provider License History,A Healthcare Provider's license information as of a point in time.,Table,hive,gold,hive_mdm
mdd_prvdr_dm_tax_ident_hstry,A Federal Tax doesn't  Identifier for a Provider at a point in time.,"Provider,Federal Tax,Identifier,Mdm",Provider Federal Tax Identification History,A Federal Tax Identifier for a Provider at a point in time.,Table,hive,gold,hive_mdm
mdd_prvdr_dm_txnmy_hstry,"An instance in the entity represents authorizing license or certificate given to a
Health Care Provider in order to officially enable the Provider to carry out a medical
skill or activity.","MDM, Provider, Taxonomy, History",Provider Taxonomy History,"An instance in the entity represents authorizing license or certificate given to a
Health Care Provider in order to officially enable the Provider to carry out a medical
skill or activity.",Table,hive,gold,hive_mdm
mdd_prvdr_dm_npi_hstry,An instance of this entity contain information about National Provider Identifier associated with a provider,"MDM, Provider, NPI, History, National Provider Identifier",Provider National Provider Identifier History,An instance of this entity contain information about National Provider Identifier associated with a provider,Table,hive,gold,hive_mdm
mdd_prvdr_dm_npi_pin_lctn_adr_hstry,"A National Provider Identifier( NPI ) and Provider Identification Number (PIN) that is
valid at a location for a Provider as of a point in time.","MDM, Provider, NPI, History, National Provider Identifier, PIN, Location, Address, Provider Identification Number, Geographic Information",Provider National Provider Identifier Pin Location Address History,"A National Provider Identifier( NPI ) and Provider Identification Number (PIN) that is
valid at a location for a Provider as of a point in time.",Table,hive,gold,hive_mdm
mdd_prvdr_dm_lgcy_ident_hstry,"An instance of Health Care Provider Medicare identification in use at a point in time for a Health Care Provider. This identifier has typically been in use for Medicare
purposes prior to the advent of the National Provider Identifier (NPI).
Examples are:
* CMS Certification Number (CCN)
* Provider Transaction Number (PTAN)
* National Supplier Clearinghouse (NSC) Number
* National Council for Prescription Drug Programs (NCPDP) Number","MDM, Provider, Legacy Identifier, History",Provider Legacy Medicare Identification History,"An instance of Health Care Provider Medicare identification in use at a point in time for a Health Care Provider. This identifier has typically been in use for Medicare
purposes prior to the advent of the National Provider Identifier (NPI).
Examples are:
* CMS Certification Number (CCN)
* Provider Transaction Number (PTAN)
* National Supplier Clearinghouse (NSC) Number
* National Council for Prescription Drug Programs (NCPDP) Number",Table,hive,gold,hive_mdm
